cui,fecha,lugar,costo_directo,cluster_kmeans,cluster_dbscan,cluster_hier,anomalia_if,anomalia_dbscan,score_anomalia,indice_riesgo,nivel_riesgo,silhouette_score
2237775,2025-05-23,YUNGAR - CARHUAZ - ANCASH,43430.0,2,-1,2,1,1,-0.18987672211359985,0.9234791452923439,Muy Alto,0.0
2032433,2024-11-03,BARRANCA,510291.13,2,-1,0,1,1,-0.11673652873762419,0.9019394225299362,Muy Alto,-0.2483180314450858
2676292,2025-03-01,UTICYACU,608551.08,2,-1,1,1,1,-0.15119058560350518,0.8747505113809033,Muy Alto,0.0
2596365,2025-04-03,CCOLLPACCASA-YAULI,18822932.43,2,-1,0,1,1,-0.10888120231902954,0.8319912245556264,Muy Alto,0.009514709137049852
2567582,2023-12-04,PURUS - PURUS - UCAYALI,17583665.13,2,-1,0,1,1,-0.1122836376931281,0.8152069750871354,Muy Alto,0.0745598646288504
2483346,2025-06-18,MARCARA,936982.76,2,-1,0,1,1,-0.1011250793405375,0.8032323090348764,Muy Alto,0.04652012572285138
2599439,2025-10-21,HUALMAY - HUAURA - LIMA,1042675.54,2,-1,0,1,1,-0.10378149201787013,0.7770776268020059,Muy Alto,0.13657965131209676
2187055,2025-11-03,SAN VICENTE DE CAÃETE - CAÃETE - LIMA,508889.32,2,-1,0,1,1,-0.028868234308010554,0.7734421187980156,Muy Alto,-0.22502157306657214
2603539,2024-07-13,CIELOPUNCO,43955279.06,1,-1,0,1,1,-0.046643240814312814,0.7673096912557398,Muy Alto,-0.07316661891609316
2302998,2024-09-01,ALBARRACIN - TACNA,38516079.9,1,-1,0,1,1,-0.0848366034294149,0.753973259164015,Muy Alto,0.11362942389962294
69,2025-01-01,CUTERVO - CUTERVO - CAJAMARCA,1455886.46,2,-1,0,1,1,-0.052132437210159366,0.7414133617981808,Muy Alto,-0.010626502795764915
2116442,2024-01-04,YAURISQUE - PARURO - CUSCO,531748.55,2,-1,0,1,1,-0.020137720784864088,0.7266973080834747,Muy Alto,-0.13011254575623676
2089921,2024-08-31,ABANCAY - APURIMAC,5723614.36,2,-1,0,1,1,-0.06176227324571271,0.69195060788495,Alto,0.131587916535554
2382416,2025-06-01,PAUCARPATA - AREQUIPA,837346.82,1,-1,0,1,1,-0.09366490078408529,0.6917896221124966,Alto,0.2734499139573426
2357285,2024-04-20,PURUS - PURUS - UCAYALI,34485895.97,1,-1,0,1,1,-0.003917045024091403,0.6754167329254398,Alto,0.026271600886437214
2351028,2025-09-11,PALCAZU - OXAPAMPA - PASCO,688801.93,2,-1,0,1,1,-0.005875921220668823,0.6711846449481917,Alto,-0.017746307783376634
2567888,2024-06-01,SANTA ROSA - MELGAR - PUNO,1433283.56,2,-1,0,1,1,-0.04086307521828514,0.6697543973099488,Alto,0.15710956822083536
85,2025-06-19,CIELOPUNCO,1342029.2,2,-1,0,1,1,-0.011595192749596861,0.6653769447954494,Alto,-0.014267259051287652
2128800,2025-05-06,OXAPAMPA,492307.83,2,-1,0,1,1,-0.0020753502062903495,0.6631027358063571,Alto,-0.014792977962227824
2318127,2025-01-10,PUERTO BERMUDEZ - OXAPAMPA - PASCO,784093.22,2,-1,0,1,1,-0.027326795025310102,0.6629893719679545,Alto,0.10293175914477157
2028096,2025-02-07,CUTERVO - CUTERVO - CAJAMARCA,658808.11,2,-1,0,1,1,-0.004110499379304744,0.6607640703944575,Alto,0.01354499623314952
89,2024-10-15,SAN JUAN DE RONTOY,641063.74,2,-1,0,0,1,0.0014013027635726427,0.644623426129536,Alto,0.04387561012640628
2420087,2024-08-04,YAURISQUE - PARURO - CUSCO,740631.27,3,-1,0,1,1,-0.017960734272882473,0.6373129470494595,Alto,0.13404293847942023
2302998,2024-09-01,ALBARRACIN - TACNA,38516079.9,1,-1,0,1,1,-0.05492474805029646,0.6314029634848051,Alto,0.3168724165543142
2493649,2025-09-30,HUARAZ - HUARAZ - ANCASH,552731.89,2,-1,0,1,1,-0.006208332111038217,0.6300532694873574,Alto,0.11876079990253562
2090419,2025-03-21,SAN VICENTE DE CAÃETE - CAÃETE - LIMA,1447239.26,2,-1,0,1,1,-0.029332088407712398,0.6294336332002444,Alto,0.22000773496995008
2492881,2024-10-27,CUPI - MELGAR - PUNO,1139267.01,1,-1,0,0,1,0.001026559858219478,0.6272415949136498,Alto,0.10943353567307226
2532013,2025-11-07,PIURA - PIURA,933003.88,2,-1,0,1,1,-0.035572700574777794,0.6259606750998099,Alto,0.25661328785456355
2390732,2025-10-11,CHANCAY - HUARAL - LIMA,1505617.58,2,-1,0,1,1,-0.02533017874478094,0.6229598686798594,Alto,0.2099609936573087
2603477,2025-06-07,ANDAMARCA,1156320.69,2,-1,0,1,1,-0.031924039015306604,0.620401483032661,Alto,0.24455183376823547
2314925,2025-07-01,BARRANCA,20906726.53,1,-1,0,1,1,-0.014482342126626802,0.6183169845777017,Alto,0.1927545400257267
2535785,2025-05-20,INDEPENDENCIA - HUARAZ - ANCASH,1196448.55,2,-1,0,1,1,-0.038750453103073235,0.6176899438675991,Alto,0.3056421034012245
2316308,2024-10-03,CHINCHO - ANGARAES - HUANCAVELICA,1427205.29,2,-1,0,1,1,-0.015341342695018856,0.61706247747862,Alto,0.14377968227253668
2422650,2025-02-17,HUABAL - JAEN - CAJAMARCA,1217311.3,2,-1,0,1,1,-0.037416166310047294,0.6099284505935092,Alto,0.29208323629112415
